,index,Age_No,Lab_No,Sample_No,Age,Error_Plus,Error_Minus,Age_Method,Age_Interpretation,Age_Note,Age_Material,Age_Technique,Age_Qualifier,Geological_Province,Province,Latitude,Longitude,Location,Geological_Info,Rock_Type,Rock_Description,References,LastUpdated
44,14708,45722,-18640,1998-JN-2032A,1158.9,2.1,2.1,Pb/Pb,Metamorphic,None,Monazite,TIMS,Direct,Grenville Province,QC,46.83809,-75.48251,None,"[mpro]bet3 | Mesoproterozoique, Suite intrusive de Bethune",Metamorphic,Gneiss: Gneiss monzogranitique,"Davis, D.W., Nantel, S., 2016. Datations U-Pb dans la partie nord de la Ceinture centrale des metasediments, Province de Grenville, region de Mont-Laurier,  p. 52 ",2/2/17 15:08
47,9032,18412,1504,88DUD 01,1442,1.3,1.3,U/Pb,Metamorphic,"2 fractions analyzed, age is 207Pb/206Pb age of older of the two concordant single-grain fractions. Other one has 7/6 age of 1440 ?2 Ma. Zircon also analyzed; discordant, scattered: not resolvable into an age.",Monazite,TIMS,Direct,Grenville Province,ON,46.09579,-81.1176,"Highway 637, 0.9 km E of bridge over Mahzenazing River","Grenville Province - unknown gneiss, hosts Sudbury Dykes",Metamorphic,biotite garnet schist with coarse (>1 cm) garnet porphyroblasts,"Dudas, F.O., Davidson, A. and Bethune, K.M., 1994. Age of the Sudbury diabase dykes and their metamorphism in the Grenville Province, Ontario; Radiogenic Age and Isotopic Studies: Report 8; Geological Survey of Canada Paper 94-F,  p. 97-106 ",9/15/05 0:39
48,9033,18413,1610,88DUD 07,1447,1.2,1.2,U/Pb,Metamorphic,"3 fractions analyzed, one is fully concordant at the age (207Pb/206Pb age). Other two, and 4 fractions of zircon, are all discordant, scattered.",Monazite,TIMS,Estimate,Grenville Province,ON,46.13568,-80.99793,Highway 637 between Attlee and Broker lakes,"Grenville Province - unknown gneiss, hosts Sudbury Dykes",Metamorphic,"fine-grained quartzofeldspathic gneiss with garnet, but no biotite","Dudas, F.O., Davidson, A. and Bethune, K.M., 1994. Age of the Sudbury diabase dykes and their metamorphism in the Grenville Province, Ontario; Radiogenic Age and Isotopic Studies: Report 8; Geological Survey of Canada Paper 94-F,  p. 97-106 ",9/15/05 0:41
43,9311,17784,2404,RF91-4,1157.5,2.5,2.5,U/Pb,Peak Metamorphic,"3 single-grain fractions of metamorphic monazite, cluster near concordia (partly overlap it and each other). Age is range of 207Pb/206Pb and U-Pb ages.",Monazite,TIMS,Estimate,Grenville Province,QC,46.05561,-74.92186,"At village of .Lac Simon at SE end of Lac des Trois, ontagnes.  Coordinates from sketch map. Note that lab records have some distance away from this at 46-09-12N 74-55-20W; report taken as correct.","Mont-Laurier terrane, Central Metasedimentary Belt - Grenville Supergroup",Metamorphic,metapelite: tourmaline-rich garnet-kyanite-sillimanite-biotite K-feldspar aluminous gneiss,"Friedman, R.M. and Martignole, J., 1995. Mesoproterozoic sedimentation, magmatism, and metamorphism in the southern part of the Grenville Province (Western Quebec): U-Pb geochronological constraints; Canadian Journal of Earth Sciences, v. 32,  p. 2103-2114 ",8/7/05 17:56
45,8697,17788,-11228,1b MLt,1162,5,5,U/Pb,Metamorphic,"5 fractions (4 single-grain), all concordant to near-concordant over 1166 to 1138 (interval of metamorphism). 3 have high degree of overlap; age is range of 207Pb/206Pb ages of the 3.",Monazite,TIMS,Estimate,Grenville Province,QC,46.05561,-74.92186,From eastern part of terrane. Coordinates interpolated from regional-scale sketch map in report.,Mont-Laurier terrane - unknown,Metamorphic,fine-grained pink (quartz microcline hornblende magnetite) alaskitic gneiss,"Friedman, R.M. and Martignole, J., 1995. Mesoproterozoic sedimentation, magmatism, and metamorphism in the southern part of the Grenville Province (Western Quebec): U-Pb geochronological constraints; Canadian Journal of Earth Sciences, v. 32,  p. 2103-2114 ",8/7/05 18:37
46,7384,17975,2406,RF91-17,1164,18,20,U/Pb,Metamorphic,"5 fractions (abr), concordant to slightly discordant (all < 1%), age is range of 207Pb/206Pb ages, representing the interval of metamorphism.",Monazite,TIMS,Estimate,Grenville Province,QC,47.23757,-76.4755,"Along road to Cabonga Dam, east of the reservoir, about 500m SE of Lac Hogen.",Reservoir Cabonga terrane - Grenville Supergroup,Metamorphic,"grt-sil gneiss, presumed pelitic protolith","Friedman, R.M. and Martignole, J., 1995. Mesoproterozoic sedimentation, magmatism, and metamorphism in the southern part of the Grenville Province (Western Quebec): U-Pb geochronological constraints; Canadian Journal of Earth Sciences, v. 32,  p. 2103-2114 ",8/7/05 18:10
53,7446,18004,-11338,C Charnockite,2652,6,6,U/Pb,Metamorphic,"Preliminary age (Lithoprobe 1990), carried over from previous compilation; not verified. User to confirm age information and/or quality.",Monazite,TIMS,Unverified,Grenville Province,QC,47.67675,-77.27055,On Hwy 17 between Val D'or and Mont Laurier. Coordinates approximated from small sketch map in report.,Grenville Front Tectonic Zone - X terrane,Metamorphic,Granite gneiss,"Gariepy, C., Verner, D. and Doig, R., 1990. Dating Archean metamorphic minerals southeast of the Grenville Front, western Quebec, using Pb isotopes; Geology, v. 18,  p. 1078-1081 OR/OU  Philippe, S., Gariepy, C., Doig, R. and Childe, F., 1990. U-Pb geochronology of late Archean monazites south of the Grenville Front, western Quebec; in Abitibi-Grenville Transect, Lithoprobe, Programme et Resumes, 1990, Montreal, not paginated ",9/30/05 19:42
10,22361,23615,-14766,95-120,1004,2,2,U/Pb,Metamorphic,"2 fractions, slightly reversely discordant. Monazites have overgrowths indicating metamorphic origin. Age is 207Pb/206Pb age of the younger fraction (-0.6% discordant). Other fraction is 1027 ?1 Ma. ""maximum estimate"".",Monazite,TIMS,Maximum Estimate,Grenville Province,NL,50.06167,-56.93667,Immediately downstream from the Cat Arm dam. Coordinates approximated from sketch map in report relative to online digital mapping of NGS.,"Long Range inlier (Grenvillian), in Humber Zone - Cat Arm Road gneiss",Plutonic,foliated medium-grained gray granite,"Heaman, L.M., Erdmer, P. and Owen, J.V., 2002. U-Pb geochronologic constraints on the crustal evolution of the Long Range Inlier, Newfoundland; Canadian Journal of Earth Sciences, v. 39,  p. 845-865 ",2/26/05 18:58
20,8572,17728,2234,1381,1026,2,2,U/Pb,Metamorphic,"3 single-grain analyses, concordant and overlapping. Age is mean 207Pb/206Pb age of the 2 best fractions",Monazite,TIMS,Direct,Grenville Province,QC,45.59449,-75.6955,"600 m NW of Lac a la Perdrix and 300 m W of the Lac a la Perdrix-Lac Ronde road, Templeton Twp SW Quebec",Central Metasedimentary Belt - Lac a la Perdrix fenite,Metamorphic,fenite (magnesio-arfvedsonite-calcite-barite-albite-fluorapatite rock) (skarn),"Hogarth, D.D. and van Breemen, O., 1996. Geology and age of the Lac a la Perdrix fenite, southern Gatineau district, Quebec; Radiogenic Age and Isotopic Studies, Report 9, Geological Survey of Canada, Paper 1995-F,  p. 33-41 ",5/17/05 22:39
17,5532,41257,-17053,MANIC71 (BZ1),1017,2,2,U/Pb,Metamorphic,"2 fractions (abr), concordant to near concordant, ellipses almost touch each other. Age is 207Pb/206Pb age of the older, more concordant fraction. The other has 207Pb/206Pb age of 1013 Ma.",Monazite,TIMS,Direct,Grenville Province,QC,51.64455,-68.32017,E shore Manicougan reservoir.  The easting given in the paper is incorrect (plots ~1.5? too far west). New easting is approximate.,Tshenukutish terrane - Boundary Zone,Metamorphic,metapelite,"Indares, A. and Dunning, G., 2001. Partial melting of high-P-T metapelites from the Tshenukutish Terrane (Grenville Province): petrography and U-pb geochronology; Journal of Petrology, v. 42,  p. 1547-1565 ",11/17/05 21:11
