,index,Age_No,Lab_No,Sample_No,Age,Error_Plus,Error_Minus,Age_Method,Age_Interpretation,Age_Note,Age_Material,Age_Technique,Age_Qualifier,Geological_Province,Province,Latitude,Longitude,Location,Geological_Info,Rock_Type,Rock_Description,References,LastUpdated
33,7675,17436,-10979,Huntsville orthogn,1068,5,5,U/Pb,Metamorphic,Preliminary age reported at conference; no analytical details provided. Information and age quality to be verified by user. Authors subsequently published ages from this study (CJES 1998) without this age; it may be of low reliability,Monazite,TIMS,Unverified,Grenville Province,ON,45.32505,-78.9998,Coordinates approximate.,"Central Gneiss Belt, Huntsville domain - Huntsville thrust sheet",Metamorphic,granitic orthogneiss,"Nadeau, L. and van Breeman, O., 1990. U-Pb ages of Middle Proterozoic deformation, metamorphism and plutonism, Huntsville region, southwestern Grenville orogen; Abitibi-Grenville Lithoprobe, Workshop, 31 October-2 November 1990, Abstract Volume,  p. 33-33 ",10/18/05 23:23
13,6512,40616,-15814,US-10,1005,2,2,U/Pb,Metamorphic,"5 fractions (abr), concordant to variably discordant, broadly colinear, but likely not within statistical validity (MSWD not reported). This age is mean (identical) 207Pb/206Pb age of 2 near-concordant points",Monazite,TIMS,Direct,Grenville Province,NL,53.66849,-60.42135,"North shore of Grand Lake, Labrador. Coordinates interpolated from sketch map in report (by NGS compilers)",Groswater Bay terrane - Grand Lake Thrust System (footwall),Metamorphic,mylonitic paragneiss,"Philippe, S., Wardle, R.J. and Scharer, U., 1993. Labradorian and Grenvillian crustal evolution of the Goose Bay region, Labrador: new U - Pb geochronological constraints; Canadian Journal of Earth Sciences, v. 30,  p. 2315-2327 ",7/25/05 19:55
36,7316,40734,-16867,DS-S99,1077,3,3,U/Pb,Peak Metamorphic,"2 fractions, near-concordant and overlapping. Age is mean 207Pb/206Pb age. Zircons also recovered, variety of populations, poor quality - not analyzed.",Monazite,TIMS,Direct,Grenville Province,NL,52.55222,-56.15778,"Alexis Bay, Labrador. Coordinates approximated from detailed sketch map in report relative to on-line digital mapping of NGS",Gilbert River Belt - Alexis Bay gneiss,Metamorphic,polydeformed granodioritic gneiss,"Scott, D.J., Machado, N., Hanmer, S. and Gariepy, C., 1993. Dating ductile deformation using U-Pb geochronology: examples from the Gilbert River Belt, Grenville Province, Labrador, Canada; Canadian Journal of Earth Sciences, v. 30,  p. 1458-1469 ",8/5/05 20:50
42,7659,17517,-11039,91-19,1157,1,1,U/Pb,Metamorphic,"Single concordant (>0.1%) fraction, age is 207Pb/206Pb age.",Monazite,TIMS,Direct,Grenville Province,ON,45.48016,-79.95577,No topographic description.,Mesoproterozoic Composite Arc allochthon - Parry Sound domain,Metamorphic,metapelitic gneiss,"Tuccillo, M.E., Mezger, K., Essene, E.J. and van der Pluijm, B.A., 1992. Thermobarometry, geochronology and the interpretation of P-T-t data in the Britt domain, Ontario Grenville Orogen, Canada; Journal of Petrology, v. 33,  p. 1225-1259 ",8/16/05 20:51
16,6258,41543,6713,CQA-00-111-P,1010,2,2,U/Pb,Metamorphic,"Weighted average 207Pb/235U age, N=2; 0.3% and 0.2% disc. A third concordant analysis yields 1001 ? 2 Ma.",Monazite,TIMS,Direct,Grenville Province,QC,50.6976,-61.11948,western shore of the western arm of the U-shape Musquaro lake,"Eastern Grenville - Grey, polymictic lapillistones, of intermediate composition",Volcanic,None,"van Breemen, O. and Corriveau, L., 2005. U-Pb age constraints on arenaceous and volcanic rocks of the Wakeham Group, eastern Grenville Province; Canadian Journal of Earth Sciences, v. 42 ",12/7/05 16:44
1,15515,42591,-16739,CG93-027A,982,5,5,U/Pb,Metamorphic,"2 fractions, 1 is concordant with U-Pb ages as given. 207Pb/206Pb age is 985 ?5 Ma.",Monazite,TIMS,Estimate,Grenville Province,NL,51.76528,-56.5875,"Near Country Cat Pond, Labrador. Coordinates approximated from sketch map in report.",Pinware terrane - unknown,Plutonic,gneissic quartz monzonite,"Wasteneys, H.A., Kamo, S.L., Moser, D., Krogh, T.E., Gower, C.F. and Owen, J.V., 1997. U-Pb geochronological constraints on the geological evolution of the Pinware terrane and adjacent areas, Grenville Province, southeast Labrador, Canada; Precambrian Research, v. 81,  p. 101-128 ",6/12/06 12:48
7,17894,21677,6084,99-PV-2133A,998,2,2,U/Pb,Metamorphic,Youngest of four monazite ages,Monazite,TIMS,Direct,Grenville Province,QC,50.28293,-62.55183,Sur le roadcut en Baie de Pontbriand,Complexe d'Aguanish - Granite porphyrique,Plutonic,"Granit gris feuillete, presque gneissique. Le granit recoupe des sediments du groupe de Wakeham.","Wodicka, N., David, J., Parent, M., Gobeil, A. and Verpaelst, P., 2002. Geochronologie U-Pb et Pb-Pb de la region de Sept-Iles - Natashquan, Province de Grenville, Moyenne Cote-Nord; Geologie et ressources minerales de la partie est de la Province de Grenville; Edited by Daniel Brisebois et Thomas Clark,  p. 59-118 ",12/15/04 10:00
15,17893,21676,6084,99-PV-2133A,1008,2,2,U/Pb,Metamorphic,oldest of four single grain monazite grains; two intermediate ages are 1005 Ma and 1000 Ma.  Continuous monazite growth is inferred from 1008 Ma to 998 Ma,Monazite,TIMS,Direct,Grenville Province,QC,50.28293,-62.55183,Sur le roadcut en Baie de Pontbriand,Complexe d'Aguanish - Granite porphyrique,Plutonic,"Granit gris feuillete, presque gneissique. Le granit recoupe des sediments du groupe de Wakeham.","Wodicka, N., David, J., Parent, M., Gobeil, A. and Verpaelst, P., 2002. Geochronologie U-Pb et Pb-Pb de la region de Sept-Iles - Natashquan, Province de Grenville, Moyenne Cote-Nord; Geologie et ressources minerales de la partie est de la Province de Grenville; Edited by Daniel Brisebois et Thomas Clark,  p. 59-118 ",12/15/04 10:01
21,17772,21698,-13608,96-PV-1230,1028,4,4,U/Pb,Metamorphic,207Pb/206Pb age of single monazite,Monazite,TIMS,Direct,Grenville Province,QC,51.26394,-61.39252,"dans la partie nord du Complexe de Boulain, a quelques kilometres au nord du lac Poullet",Complexe de Boulain - Gneiss granitique,Plutonic,"Le Complexe de Boulain comprend un asemblage de gneiss de composition granitique a tonalitique par endroits et dans lesquels sont intercales du granite, du gabbro et de la pegmatitie deformes et metamorphoses","Wodicka, N., David, J., Parent, M., Gobeil, A. and Verpaelst, P., 2002. Geochronologie U-Pb et Pb-Pb de la region de Sept-Iles - Natashquan, Province de Grenville, Moyenne Cote-Nord; Geologie et ressources minerales de la partie est de la Province de Grenville; Edited by Daniel Brisebois et Thomas Clark,  p. 59-118 ",12/16/04 10:37
28,17811,21660,6080,AG-98-1331A,1047,2,2,U/Pb,Metamorphic,Youngest of for concordant single monazite grains,Monazite,TIMS,Direct,Grenville Province,QC,50.6548,-65.29737,pres de Sept-Iles,Complexe de Manitou - Paragneiss a biotite-grenat-sillimanite-graphite,Metamorphic,paragneiss de Biotite-sillimanite-grenat-graphite ; gneissossite (syn-M2) defini par des couches de mobilisate et des lisses de biotite. L'echantillon contient egalement un tissu planaire axial (syn-M3 ?) defini par une deuxieme generation de biotite,"Wodicka, N., David, J., Parent, M., Gobeil, A. and Verpaelst, P., 2002. Geochronologie U-Pb et Pb-Pb de la region de Sept-Iles - Natashquan, Province de Grenville, Moyenne Cote-Nord; Geologie et ressources minerales de la partie est de la Province de Grenville; Edited by Daniel Brisebois et Thomas Clark,  p. 59-118 ",12/14/04 11:40
32,17810,21659,6080,AG-98-1331A,1063,2,2,U/Pb,Metamorphic,"Oldest of four single grain monazite analyses; two intermediate ages are 1058 ?2 Ma, and 1054 ?2 Ma",Monazite,TIMS,Direct,Grenville Province,QC,50.6548,-65.29737,pres de Sept-Iles,Complexe de Manitou - Paragneiss a biotite-grenat-sillimanite-graphite,Metamorphic,paragneiss de Biotite-sillimanite-grenat-graphite ; gneissossite (syn-M2) defini par des couches de mobilisate et des lisses de biotite. L'echantillon contient egalement un tissu planaire axial (syn-M3 ?) defini par une deuxieme generation de biotite,"Wodicka, N., David, J., Parent, M., Gobeil, A. and Verpaelst, P., 2002. Geochronologie U-Pb et Pb-Pb de la region de Sept-Iles - Natashquan, Province de Grenville, Moyenne Cote-Nord; Geologie et ressources minerales de la partie est de la Province de Grenville; Edited by Daniel Brisebois et Thomas Clark,  p. 59-118 ",12/14/04 11:37
35,17846,21665,6081,AG-99-1311A,1076,4,4,U/Pb,Metamorphic,weighted mean age of three monazite analyse; 0.3 - 0.5% discordant ; single grains,Monazite,TIMS,Direct,Grenville Province,QC,50.85312,-65.9413,pres de Sept-Iles,Complexe de Manitou - Paragneiss a biotite-grenat-sillimanite,Metamorphic,les paragneiss de Biotite-sillimanite-grenat ont ete metamorphose aux facies d'amphibolite mi a superieur.,"Wodicka, N., David, J., Parent, M., Gobeil, A. and Verpaelst, P., 2002. Geochronologie U-Pb et Pb-Pb de la region de Sept-Iles - Natashquan, Province de Grenville, Moyenne Cote-Nord; Geologie et ressources minerales de la partie est de la Province de Grenville; Edited by Daniel Brisebois et Thomas Clark,  p. 59-118 ",12/14/04 13:34
40,17847,21666,6081,AG-99-1311A,1100,2,2,U/Pb,Metamorphic,Single concordant analysis,Monazite,TIMS,Direct,Grenville Province,QC,50.85312,-65.9413,pres de Sept-Iles,Complexe de Manitou - Paragneiss a biotite-grenat-sillimanite,Metamorphic,les paragneiss de Biotite-sillimanite-grenat ont ete metamorphose aux facies d'amphibolite mi a superieur.,"Wodicka, N., David, J., Parent, M., Gobeil, A. and Verpaelst, P., 2002. Geochronologie U-Pb et Pb-Pb de la region de Sept-Iles - Natashquan, Province de Grenville, Moyenne Cote-Nord; Geologie et ressources minerales de la partie est de la Province de Grenville; Edited by Daniel Brisebois et Thomas Clark,  p. 59-118 ",12/14/04 13:38
