descriptor,region,sample,grain,date,error,N,oxide_percent,CaO,K2O,SiO2,SrO,P2O5,As2O5,ThO2,UO2,Y2O3,La2O3,Ce2O3,Nd2O3,Pr2O3,Sm2O3,Tb2O3,Gd2O3,Dy2O3,Ho2O3,Er2O3,Eu2O3,Tm2O3,Yb2O3,SO3,PbO
high Y Ottawan rims,Killaloe,BY13–2,m11,1055,12,5,100.88,0.69,0.01,0.28,0,29.65,0.18,3.39,0.31,3.2,12.95,27.45,14.13,3.32,1.59,0.13,1.96,0.87,0.05,0.23,0.01,0.16,0.09,0.04,0.2
high Y Ottawan rims,Killaloe,BY13–2,m3 (gt),1046,20,4,101.21,0.71,0,0.19,0.01,30.29,0,3.2,0.37,3.02,13,27.5,14.27,3.34,1.67,0.14,2.01,0.86,0.08,0.19,0.03,0.1,0.04,0.03,0.2
high Y Ottawan rims,Killaloe,BY13–2,m10,1045,8,4,101.59,0.7,0,0.3,0,29.91,0.22,3.55,0.32,3.17,13.06,27.54,14.17,3.29,1.63,0.17,1.94,0.86,0.09,0.23,0,0.12,0.09,0.03,0.21
high Y Ottawan rims,Killaloe,BY13–2,m4 (gt),1039,21,3,99.3,0.7,0,0.3,0,28.83,0.09,3.76,0.23,3.17,12.83,27,13.82,3.23,1.54,0.16,2.06,0.9,0.11,0.23,0.02,0.03,0.04,0.05,0.2
high Y Ottawan rims,Killaloe,BY13–2,m5,1035,14,5,99.25,0.69,0.04,0.24,0.01,29.14,0.06,3.29,0.35,3.13,12.87,26.98,13.97,3.27,1.59,0.13,1.89,0.83,0.08,0.24,0.01,0.09,0.11,0.04,0.2
high Y Ottawan rims,Killaloe,BY13–2,m9,1033,13,4,99.58,0.76,0.05,0.23,0.01,29.3,0.08,3.31,0.3,2.18,13.24,27.62,14.28,3.34,1.66,0.11,1.96,0.66,0.04,0.14,0.04,0.06,0.01,0.03,0.19
high Y Ottawan rims,Killaloe,BY13–2,m13,1032,20,4,100.4,0.75,0,0.18,0.01,29.8,0.04,3.2,0.37,3.06,13.02,27.44,14.05,3.3,1.61,0.14,1.86,0.83,0.06,0.2,0.03,0.14,0.07,0.04,0.2
oddball,Killaloe,BY13–1,m10,1113,11,6,101.39,0.83,0,0.22,0.01,30.16,0.04,3.75,0.52,0.53,14.56,29.61,13.98,3.39,1.54,0.04,1.61,0.23,0,0.01,0.01,0.09,0,0.01,0.27
oddball,Killaloe,BY13–1,m13,1091,9,5,101.78,1,0,0.23,0.03,30.56,0.05,3.97,0.78,3.02,18.92,29.33,8.45,2.54,0.5,0.08,0.84,0.62,0.07,0.22,0.05,0.08,0.08,0.08,0.31
oddball,Killaloe,BY13–1,m12,1030,18,5,101.95,0.83,0.02,0.24,0.01,30.5,0,3.72,0.64,1.06,13.99,29.05,13.99,3.36,1.71,0.1,1.93,0.43,0,0.04,0.04,0.05,0,0.02,0.26
